surname
Aacharya
Aadir
Aafrin
Aaftab
Aala
Aalam
Aale
Aalemagar
Aaryal
Aashish
Aatreya
Aauji
Aazad
Abbas
Abdul
Abhilashi
Acchami
Achaju
Achami
Acharaya
Acharj
Acharju
Achary
Acharya
Acharyani
Achaya
Achayra
Achchhami
Achhami
Achrya
Adai
Adhakare
Adhakari
Adhiakari
Adhiakri
Adhikaari
Adhikar
Adhikaree
Adhikari
Adhikary
Adhikri
Adhirki
Adhkari
Adiga
Adihari
Adkhikari
Aduwa
Aeir
Aeri
Afroj
Aftab
Aganja
Agarawal
Agarwa
Agarwal
Agasti
Agawal
Agrahari
Agrawal
Agrwal
Ahamad
Ahamed
Ahammed
Ahbed
Ahdikari
Ahemad
Ahidkari
Ahikari
Ahir
Ahirin
Ahmad
Ahmd
Ahmed
Aidee
Aidi
Aidy
Aier
Air
Airee
Airi
Ajakhya
Ajam
Akhatar
Akheli
Akhileshor
Akhtar
Ala
Alam
Ale
Ale Magar
Alee
Alemagar
Aley
Algauni
Ali
Ali Miya
Alimiya
Aliyas
Amajya
Amat
Amatya
Amgai
Amgain
Amgati
Amjad
Ammay
Anand
Angbo
Angbuhang
Angdembe
Angeni
Angthupo
Ansari
Anshari
Anu
Anwar
Anwer
Apagain
Arayal
Archarya
Ardhe
Argal
Argariya
Argeja
Arghali
Arif
Ariyal
Arjel
Arjyal
Armaja
Arya
Aryal
Asbina
Ashafak
Ashi
Ashraf
Aslami
Asma
Atal
Athare
Athere
Atreya
Atreyee
Atri
Attreya
Auchhai
Avharya
Avilasha
Awaee
Awal
Awale
Awasthi
Awosthi
Ayer
Ayri
Ayub
Azad
Aziz
B.C
B.C.
B.K
B.K.
Baagajain
Baahyal
Babu
Bachhawai
Bachhe
Bada
Badagami
Badahi
Badai
Badaila
Badal
Bade
Badgami
Badhu
Badhya
Badhyo
Badral
Badrudoza
Badu
Baduwal
Bag
Baga
Bagadaiya
Bagadia
Bagadiya
Bagajain
Bagala
Bagale
Bagariya
Bagchand
Bagdami
Bagdas
Bagdiya
Bagela
Bagga
Bagle
Bagwan
Bahadaur
Bahadur
Bahdari
Baheti
Bahety
Bahik
Bahndari
Bahrati
Baht
Bahtt
Bahtta
Bahttachan
Bahttarai
Baidar
Baidawar
Baidhaya
Baidhya
Baidik
Baidya
Baigar
Baijali
Baiju
Bairagi
Baisali
Baish
Baishay
Baishnab
Baishya
Baisyat
Baisyet
Baitha
Baitya
Bajagai
Bajagain
Bajaj
Bajdracharya
Bajgai
Bajgain
Bajiko
Bajimaya
Bajimayo
Bajiyamahato
Bajpayee
Bajracaharya
Bajracahrya
Bajracharay
Bajrachary
Bajracharya
Bajrachaya
Bajrachayra
Bajrachrya
Bajrcharya
Bajyu
Bakabal
Bakbal
Bakey
Bakhadyo
Bakhati
Bakhrel
Bakhu
Bakhunchhe
Bal
Bala
Balal
Balami
Balampakhi
Balampaki
Balaya
Balayar
Balkoti
Balkuti
Balla
Balmapaki
Balugurbuja
Bam
Bamanu
Bamjan
Bamma
Bamshi
Ban
Bana
Banaya
Banda
Bandari
Bandhu
Bandu
Banepali
Banerjee
Banga
Bangdelrai
Bangshi
Bania
Baniya
Baniys
Banjaday
Banjade
Banjadey
Banjankar
Banjar
Banjara
Banka
Banmali
Bansal
Bansali
Banset
Banshi
Bansi
Banskota
Banstola
Bantawa
Bantha
Bantwa
Banu
Baphana
Bar
Baraghare
Barahi
Barai
Baraili
Baraily
Barakoti
Baral
Barali
Baram
Baramle
Baramu
Baranawal
Baranwal
Barati
Barayali
Bardewa
Barghare
Barini
Bariya
Bariyait
Bariyati
Barjacharya
Barma
Barmashakha
Barme
Barmecha
Barnawal
Barnwal
Barral
Bartaula
Barun
Baruwa
Baruwal
Barwal
Basan
Basaula
Basayal
Basel
Basent
Bashistha
Bashnata
Bashnet
Bashukala
Bashyal
Basi
Basistha
Baskota
